empleado_id,nombre,apellido,telefono,correo_electronico,direccion,contraseña,tipo_usuario
1,Juan,García,49044346,juan.garcía@correo.com,Calle 39 Zona 17,pass2589,3
2,María,Hernández,76932695,maría.hernández@correo.com,Calle 19 Zona 1,pass8654,1
3,Carlos,Martínez,52876037,carlos.martínez@correo.com,Calle 40 Zona 23,pass3573,1
4,Ana,López,47631222,ana.lópez@correo.com,Calle 28 Zona 19,pass5412,2
5,Luis,González,89779196,luis.gonzález@correo.com,Calle 49 Zona 1,pass8467,3
6,Pedro,Pérez,82105544,pedro.pérez@correo.com,Calle 2 Zona 24,pass2836,3
7,Laura,Rodríguez,90640214,laura.rodríguez@correo.com,Calle 42 Zona 2,pass1088,1
8,Jorge,Sánchez,60473171,jorge.sánchez@correo.com,Calle 9 Zona 4,pass2393,1
9,Marta,Ramírez,64970441,marta.ramírez@correo.com,Calle 34 Zona 8,pass4117,1
10,Sofía,Torres,74657487,sofía.torres@correo.com,Calle 41 Zona 2,pass8414,3
11,Andrés,Flores,68123779,andrés.flores@correo.com,Calle 15 Zona 16,pass4674,2
12,Lucía,Rivera,82110040,lucía.rivera@correo.com,Calle 36 Zona 21,pass8205,2
13,Diego,Gómez,88420821,diego.gómez@correo.com,Calle 1 Zona 8,pass9713,1
14,Elena,Díaz,71171747,elena.díaz@correo.com,Calle 5 Zona 23,pass2123,3
15,Fernando,Cruz,68379729,fernando.cruz@correo.com,Calle 41 Zona 21,pass5764,3
16,Camila,Morales,84623871,camila.morales@correo.com,Calle 31 Zona 18,pass5015,1
17,Pablo,Ortiz,43380462,pablo.ortiz@correo.com,Calle 18 Zona 2,pass4108,1
18,Gabriela,Vargas,40424526,gabriela.vargas@correo.com,Calle 46 Zona 10,pass3890,3
19,Manuel,Castillo,56941785,manuel.castillo@correo.com,Calle 35 Zona 10,pass3122,3
20,Isabel,Jiménez,49375672,isabel.jiménez@correo.com,Calle 34 Zona 1,pass1902,1
